iter	Passed	Remaining
560	1560	1220
561	1562	1217
562	1563	1213
563	1565	1209
564	1566	1206
565	1568	1202
566	1569	1198
567	1570	1194
568	1572	1191
569	1574	1187
570	1576	1184
571	1578	1180
572	1579	1177
573	1581	1173
574	1583	1170
575	1584	1166
576	1585	1162
577	1587	1159
578	1589	1155
579	1590	1152
580	1592	1148
581	1594	1145
582	1596	1141
583	1597	1138
584	1598	1134
585	1600	1130
586	1602	1127
587	1604	1123
588	1605	1120
589	1607	1116
590	1609	1113
591	1610	1109
592	1612	1106
593	1613	1102
594	1614	1099
595	1616	1095
596	1618	1092
597	1619	1088
598	1621	1085
599	1623	1082
600	1624	1078
601	1626	1075
602	1627	1071
603	1629	1068
604	1630	1064
605	1632	1061
606	1633	1057
607	1635	1054
608	1637	1051
609	1638	1047
610	1640	1044
611	1641	1040
612	1643	1037
613	1644	1033
614	1646	1030
615	1648	1027
616	1650	1024
617	1652	1021
618	1653	1017
619	1655	1014
620	1656	1011
621	1658	1007
622	1659	1004
623	1661	1001
624	1663	998
625	1665	994
626	1666	991
627	1668	988
628	1670	985
629	1671	981
630	1673	978
631	1675	975
632	1677	972
633	1679	969
634	1680	966
635	1682	962
636	1683	959
637	1684	956
638	1686	952
639	1687	949
640	1689	946
641	1691	943
642	1693	940
643	1695	937
644	1696	933
645	1698	930
646	1699	927
647	1701	924
648	1702	920
649	1704	917
650	1705	914
651	1707	911
652	1708	908
653	1710	905
654	1712	901
655	1713	898
656	1714	895
657	1716	892
658	1717	888
659	1719	885
660	1721	882
661	1723	879
662	1725	876
663	1726	873
664	1728	870
665	1729	867
666	1731	864
667	1732	861
668	1734	857
669	1735	854
670	1737	851
671	1739	849
672	1740	845
673	1742	842
674	1743	839
675	1745	836
676	1746	833
677	1748	830
678	1749	827
679	1752	824
680	1754	821
681	1756	818
682	1757	815
683	1759	812
684	1760	809
685	1762	806
686	1764	803
687	1765	800
688	1767	797
689	1769	795
690	1771	792
691	1772	788
692	1774	786
693	1775	783
694	1777	780
695	1778	776
696	1780	774
697	1782	771
698	1783	768
699	1785	765
700	1787	762
701	1788	759
702	1790	756
703	1791	753
704	1793	750
705	1795	747
706	1796	744
707	1798	741
708	1800	738
709	1801	735
710	1802	732
711	1804	729
712	1806	726
713	1807	723
714	1808	721
715	1810	718
716	1812	715
717	1814	712
718	1816	709
719	1817	706
720	1819	704
721	1820	701
722	1822	698
723	1823	695
724	1825	692
725	1827	689
726	1829	687
727	1831	684
728	1832	681
729	1834	678
730	1836	675
731	1838	672
732	1841	670
733	1843	668
734	1845	665
735	1847	662
736	1849	659
737	1851	657
738	1852	654
739	1855	651
740	1857	649
741	1858	646
742	1860	643
743	1862	640
744	1864	638
745	1865	635
746	1867	632
747	1869	629
748	1871	627
749	1873	624
750	1875	621
751	1876	618
752	1878	616
753	1879	613
754	1881	610
755	1883	607
756	1885	605
757	1887	602
758	1889	599
759	1890	597
760	1892	594
761	1893	591
762	1895	588
763	1896	585
764	1898	583
765	1900	580
766	1901	577
767	1903	575
768	1904	572
769	1906	569
770	1908	566
771	1909	564
772	1911	561
773	1913	558
774	1915	556
775	1916	553
776	1918	550
777	1920	547
778	1921	545
779	1923	542
780	1924	539
781	1926	537
782	1928	534
783	1931	532
784	1933	529
785	1934	526
786	1936	524
787	1938	521
788	1939	518
789	1941	516
790	1943	513
791	1945	511
792	1947	508
793	1949	505
794	1950	503
795	1952	500
796	1954	497
797	1956	495
798	1958	492
799	1960	490
800	1962	487
801	1963	484
802	1965	482
803	1967	479
804	1968	476
805	1970	474
806	1972	471
807	1974	469
808	1975	466
809	1977	463
810	1979	461
811	1981	458
812	1983	456
813	1984	453
814	1985	450
815	1987	448
816	1989	445
817	1991	443
818	1993	440
819	1995	438
820	1997	435
821	1999	432
822	2001	430
823	2003	427
824	2005	425
825	2007	422
826	2009	420
827	2011	417
828	2013	415
829	2014	412
830	2016	410
831	2019	407
832	2020	405
833	2022	402
834	2023	399
835	2025	397
836	2027	394
837	2028	392
